control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.updates,P2,HostSystem,VMWARE,,powercli_only,string,N/A,Keep ESXi system properly patched,"By staying up to date on ESXi patches, vulnerabilities in the hypervisor can be mitigated. An educated attacker can exploit known vulnerabilities when attempting to attain access or elevate privileges on an ESXi host.",SCG-6.7:ESXi.apply-patches,# VMware Update Manager PowerCLI Cmdlets can be used to check this feature. See sample scripts here for PowerCLI 11: ; ; https://code.vmware.com/docs/7335/powercli-11-0-0-user-s-guide?h=powercli%2011#/doc/GUID-BCD266EC-2A66-4F35-8E2E-0138C10D7007.html,
esx.lockdown-exception-users,P2,HostSystem,VMWARE,,powercli_only,string,Site-Specific,Audit the list of users who are on the Exception Users List and whether the have administrator privleges,"In vSphere 6.0 and later, you can add users to the Exception Users list from the vSphere Web Client. These users do not lose their permissions when the host enters lockdown mode. Usually you may want to add service accounts such as a backup agent to the Exception Users list. Verify that the list of users who are exempted from losing permissions is legitimate and as needed per your enviornment. Users who do not require special permissions should not be exempted from lockdown mode.",SCG-6.7:ESXi.audit-exception-users,,
esx.deactivate-ssh,P2,HostSystem,VMWARE,service.TSM-SSH.running,vim_property,boolean,false,Ensure that the SSH default disablement has not been changed,SSH is disabled by default on ESXi. The use of SSH to an ESXi host should be limited in scope and use. SSH enablement is controlled via the SSH service. This service is stopped by default.,SCG-6.7:ESXi.Audit-SSH-Disable,,service_state:TSM-SSH:running
esx.timekeeping-sources,P0,HostSystem,VMWARE,config.dateTimeInfo.ntpConfig.server,vim_property,string,(non-empty),Configure NTP time synchronization,"By ensuring that all systems use the same relative time source (including the relevant localization offset), and that the relative time source can be correlated to an agreed-upon time standard (such as Coordinated Universal Time—UTC), you can make it simpler to track and correlate an intruder’s actions when reviewing the relevant log files. Incorrect time settings can make it difficult to inspect and correlate log files to detect attacks, and can make auditing inaccurate.",SCG-6.7:ESXi.config-ntp,"# Set the NTP Settings for all hosts ; $NTPServers = ""pool.ntp.org"", ""pool2.ntp.org""Get-VMHost | Add-VmHostNtpServer $NTPServers",string_list_join:config.dateTimeInfo.ntpConfig.server
esx.logs-persistent,P0,HostSystem,VMWARE,LocalLogOutputIsPersistent,esxcli,boolean,true,Configure persistent logging for all ESXi host,"ESXi can be configured to store log files on an in-memory file system.  This occurs when the host's ""/scratch"" directory is linked to ""/tmp/scratch"". When this is done only a single day's worth of logs are stored at any time. In addition log files will be reinitialized upon each reboot.  This presents a security risk as user activity logged on the host is only stored temporarily and will not persistent across reboots.  This can also complicate auditing and make it harder to monitor events and diagnose issues.  ESXi host logging should always be configured to a persistent datastore.",SCG-6.7:ESXi.config-persistent-logs,"# Set Syslog.global.logDir for each host ; Get-VMHost | Foreach { Set-VMHostAdvancedConfiguration -VMHost $_ -Name Syslog.global.logDir -Value ""NewLocation"" }",esxcli:system.syslog.config.get:LocalLogOutputIsPersistent
esx.config-snmp,P2,HostSystem,VMWARE,,powercli_only,string,site-specific,Ensure proper SNMP configuration,"If SNMP is not being used, it should remain disabled. If it is being used, the proper trap destination should be configured. If SNMP is not properly configured, monitoring information can be sent to a malicious host that can then use this information to plan an attack.  Note:  ESXi 5.1 and later supports SNMPv3 which provides stronger security than SNMPv1 or SNMPv2, including key authentication and encryption. Deciding what version of SNMP to use (v1, v2 or v3) is a Site-Specific setting.",SCG-6.7:ESXi.config-snmp,# Update the host SNMP Configuration (single host connection required) ; Get-VmHostSNMP | Set-VMHostSNMP -Enabled:$True -ReadOnlyCommunity 'secret',
esx.deactivate-cim,P0,HostSystem,VMWARE,service.sfcbd-watchdog.running,vim_property,boolean,false,Configure or disable CIM.,CIM should be disabled if not in use.,SCG-6.7:ESXi.disable-cim,# Get-VMHostService -VMHost * | where {$_.Key -eq 'sfcbd-watchdog'} | Set-VMHostService -Policy Off ; # Get-VMHostService -VMHost * | where {$_.Key -eq 'sfcbd-watchdog'} | Stop-VMHostService,service_state:sfcbd-watchdog:running
esx.deactivate-mob,P2,HostSystem,VMWARE,Config.HostAgent.plugins.solo.enableMob,advanced_setting,boolean,False,Disable Managed Object Browser (MOB),The managed object browser (MOB) provides a way to explore the object model used by the VMkernel to manage the host; it enables configurations to be changed as well. This interface is meant to be used primarily for debugging the vSphere SDK. In Sphere 6.x this is disabled by default. This guideline is here to remind you to audit your ESXi servers to ensure someone hasn't turned on the MOB.,SCG-6.7:ESXi.disable-mob,"Get-VMHost <host> | Get-AdvancedSetting -Name Config.HostAgent.plugins.solo.enableMob |Set-AdvancedSetting -value ""False""",
esx.deactivate-slp,P2,HostSystem,VMWARE,service.slpd.running,vim_property,boolean,false,Configure or disable SLP.,SLP should be disabled if not in use.,SCG-6.7:ESXi.disable-slp,# Get-VMHostService -VMHost * | where {$_.Key -eq 'slpd'} | Set-VMHostService -Policy Off ; # Get-VMHostService -VMHost * | where {$_.Key -eq 'slpd'} | Stop-VMHostService,service_state:slpd:running
esx.enable-ad-auth,P2,HostSystem,VMWARE,,powercli_only,string,Site-Specific,Use Active Directory for local user authentication,"Join ESXi hosts to an Active Directory (AD) domain to eliminate the need to create and maintain multiple local user accounts. Using AD for user authentication simplifies the ESXi host configuration, ensures password complexity and reuse policies are enforced and reduces the risk of security breaches and unauthorized access.  Note: if the AD group ""ESX Admins"" (default) exists then all users and groups that are assigned as members to this group will have full administrative access to all ESXi hosts the domain.",SCG-6.7:ESXi.enable-ad-auth,# Join the ESXI Host to the Domain ; Get-VMHost | Get-VMHostAuthentication | Set-VMHostAuthentication -Domain $domain -User $username -Password $password -JoinDomain,
