control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.account-lockout-duration,P2,HostSystem,VMWARE,Security.AccountUnlockTime,advanced_setting,integer,900,The ESX host must enforce an unlock timeout of 15 minutes.,"By enforcing a reasonable unlock timeout after multiple failed logon attempts, the risk of unauthorized access via user password guessing, otherwise known as brute forcing, is reduced. Users must wait for the timeout period to elapse before subsequent logon attempts are allowed.",SCG-9.0:esx-9.account-lockout-duration,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900,
esx.account-lockout-max-attempts,P2,HostSystem,VMWARE,Security.AccountLockFailures,advanced_setting,integer,5,The ESX host must enforce the limit of five consecutive invalid logon attempts by a user.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator. However, setting the threshold too low can create an avenue for denial-of-service attacks, whether intentional or unintentional, such as with SSH connection retries from automated systems. The recommended value of 5 attempts balances security with operational reliability.",SCG-9.0:esx-9.account-lockout-max-attempts,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5,
esx.account-password-history,P2,HostSystem,VMWARE,Security.PasswordHistory,advanced_setting,integer,5,The ESX host must enforce password history for users.,Protects against reuse of passwords.,SCG-9.0:esx-9.account-password-history,Get-VMHost -Name $ESX | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5,
esx.ad-admin-group-autoadd,P2,HostSystem,VMWARE,Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd,advanced_setting,boolean,FALSE,The ESX host must not automatically grant administrative permissions to Active Directory groups.,"When adding ESX hosts to Active Directory, the group specified by the ""Config.HostAgent.plugins.hostsvc.esxAdminsGroup"" advanced setting can be automatically granted administrative access to ESX. This behavior should be disabled and access intentionally granted if appropriate.",SCG-9.0:esx-9.ad-admin-group-autoadd,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroupAutoAdd | Set-AdvancedSetting -Value FALSE,
esx.ad-admin-group-name,P0,HostSystem,VMWARE,Config.HostAgent.plugins.hostsvc.esxAdminsGroup,advanced_setting,string,"Anything But ""ESX Admins""",The ESX host must not use the default Active Directory ESX Admin group.,"When adding ESX hosts to Active Directory, all user/group accounts assigned to the Active Directory group ""ESX Admins"" will have full administrative access to the host.
 
If this group is not controlled or known to the system administrators, it may be used for inappropriate access to the host. Therefore, the default group must be changed to a site-specific Active Directory group and membership must be severely restricted.",SCG-9.0:esx-9.ad-admin-group-name,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.hostsvc.esxAdminsGroup | Set-AdvancedSetting -Value $ANYTHING_ELSE,
esx.ad-admin-validate-interval,P2,HostSystem,VMWARE,Config.HostAgent.plugins.vimsvc.authValidateInterval,advanced_setting,integer,90,The ESX host must not disable validation of users and groups.,"When joined to Active Directory, ESX will periodically validate group membership for any groups with permissions to the host. This process ensures any changes made to groups in Active Directory are synced to ESX and must not be disabled.",SCG-9.0:esx-9.ad-admin-validate-interval,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vimsvc.authValidateInterval | Set-AdvancedSetting -Value 90,
esx.api-soap-timeout,P0,HostSystem,VMWARE,Config.HostAgent.vmacore.soap.sessionTimeout,advanced_setting,integer,10,The ESX host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely. Note that this value is in minutes, not seconds.",SCG-9.0:esx-9.api-soap-timeout,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 10,
esx.cpu-hyperthread-warning,P2,HostSystem,VMWARE,UserVars.SuppressHyperthreadWarning,advanced_setting,integer,0,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"Hyperthreading security warnings signify unaddressed CPU vulnerabilities in the system, and ignoring these could mask potential risks. Ensure that hardware remediations align with your organization's accepted risk, and if suppressing a warning, document the decision and rationale.",SCG-9.0:esx-9.cpu-hyperthread-warning,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0,
esx.dcui-timeout,P2,HostSystem,VMWARE,UserVars.DcuiTimeOut,advanced_setting,integer,600,Set a timeout to automatically terminate idle DCUI sessions on the ESX host.,"DCUI allows direct login to the ESX host for managing tasks. To prevent unintended DCUI usage from leftover login sessions, It is essential to terminate idle connections.",SCG-9.0:esx-9.dcui-timeout,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600,
esx.deactivate-mob,P2,HostSystem,VMWARE,Config.HostAgent.plugins.solo.enableMob,advanced_setting,boolean,False,The ESX Managed Object Browser (MOB) should be deactivated.,Services which are not in use and are not essential for operations should be deactivated.,SCG-9.0:esx-9.deactivate-mob,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False,
