control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.account-auto-unlock-time,P2,HostSystem,VMWARE,Security.AccountUnlockTime,advanced_setting,integer,900,The ESXi host must unlock accounts after a specified timeout period.,"Ensures that user accounts on the ESXi host are automatically unlocked after a defined period of inactivity. By enforcing automatic account unlocking, organizations can maintain a balance between security and usability, ensuring that idle accounts are reactivated promptly while minimizing the potential for unauthorized access.",SCG-8.0:esxi-8.account-auto-unlock-time,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountUnlockTime | Set-AdvancedSetting -Value 900,
esx.account-dcui,P0,HostSystem,VMWARE,account.dcui.shellaccess,esxcli,boolean,false,The ESXi host must deny shell access for the dcui account.,The dcui user is used for process isolation for the DCUI itself. The account has shell access which can be deactivated to reduce attack surface.,SCG-8.0:esxi-8.account-dcui,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $ESXcli.system.account.set.CreateArgs() ; $arguments.id = ""dcui"" ; $arguments.shellaccess = ""false"" ; $ESXcli.system.account.set.Invoke($arguments)",esxcli:system.account.list:Shellaccess[UserID=dcui]
esx.account-lockout,P2,HostSystem,VMWARE,Security.AccountLockFailures,advanced_setting,integer,5,The ESXi host must lock an account after a specified number of failed login attempts.,"Protects against brute-force attacks and unauthorized access attempts by temporarily disabling the affected account, preventing further login attempts until the lockout period expires or is manually reset by an administrator.",SCG-8.0:esxi-8.account-lockout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.AccountLockFailures | Set-AdvancedSetting -Value 5,
esx.account-password-history,P2,HostSystem,VMWARE,Security.PasswordHistory,advanced_setting,integer,5,Configure the password history setting to restrict the reuse of passwords on the ESXi host.,"Prevent the reuse of previous passwords, thus mitigating potential breaches from old, compromised credentials.",SCG-8.0:esxi-8.account-password-history,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordHistory | Set-AdvancedSetting -Value 5,
esx.account-password-max-days,P2,HostSystem,VMWARE,Security.PasswordMaxDays,advanced_setting,integer,9999,The ESXi host must be configured with an appropriate maximum password age.,"Modern best practices for passwords, as outlined in NIST 800-63B Section 5.1.1.2 and other relevant guidance, state that enforcing periodic password changes does not enhance security when passwords already possess adequate entropy.",SCG-8.0:esxi-8.account-password-max-days,Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordMaxDays | Set-AdvancedSetting -Value 9999,
esx.account-password-policies,P0,HostSystem,VMWARE,Security.PasswordQualityControl,advanced_setting,string,"""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15 max=64""",The ESXI host must enforce password complexity.,"Based on recommendations such as NIST 800-63B Section 5.1.1.2, it is suggested that composition rules, such as mandating mixtures of character classes, should not be enforced on systems as they often fail to enhance password security and discourage the adoption of more secure passphrases.

Password strength and complexity rules are applicable to all ESXi users, including the root user. However, when the ESX host is joined to a domain, these rules do not apply to Active Directory (AD) users as password policies for AD users are enforced by the AD system.",SCG-8.0:esxi-8.account-password-policies,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Security.PasswordQualityControl | Set-AdvancedSetting -Value ""similar=deny retry=3 min=disabled,disabled,disabled,disabled,15 max=64""",
esx.account-vpxuser,P2,HostSystem,VMWARE,account.vpxuser.shellaccess,esxcli,boolean,false,The ESXi host must deny shell access for the vpxuser account.,"The vpxuser account is created by vCenter Server when the host is first attached, and is subseqently used for privileged authentication to ESXi. While the password is automatically rotated by vCenter Server on an interval governed by VirtualCenter.VimPasswordExpirationInDays, it also has shell access which can be deactivated to reduce attack surface.

Users who do not have shell access cannot reconfigure other users' shell access, no matter their privilege levels. Since vCenter Server connects as vpxuser, once vpxuser has been stripped of shell access it will no longer be able to change those user settings for others. Further reconfiguration will need to happen on a host-by-host basis using an account that is authorized.

For security, ESXi 8 no longer supports traditional password or account recovery operations, such as booting from media or changing init to a shell on boot.

Ensure that the host retains at least one fully privileged user, protected well.",SCG-8.0:esxi-8.account-vpxuser,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $ESXcli.system.account.set.CreateArgs() ; $arguments.id = ""vpxuser"" ; $arguments.shellaccess = ""false"" ; $ESXcli.system.account.set.Invoke($arguments)",esxcli:system.account.list:Shellaccess[UserID=vpxuser]
esx.ad-auth-proxy,P0,HostSystem,VMWARE,,powercli_only,string,Configured If Feature In Use,The vCenter Server must use the vSphere Authentication Proxy to avoid storing Active Directory credentials.,"The vSphere Authentication Proxy enables vCenter to connect to and manage AD entities without the need to directly store AD credentials, which reduces the risk of credential exposure or misuse.",SCG-8.0:esxi-8.ad-auth-proxy,N/A,
esx.annotations-welcomemessage,P1,HostSystem,VMWARE,Annotations.WelcomeMessage,advanced_setting,string,Consult your organization's legal advisors for text that is applicable to your environment.,Configure the ESXi host login banner for the DCUI and Host Client.,"ESXi enables the display of a login message often used to deter intruders by declaring their activities as illegal, and to inform authorized users of their responsibilities and conditions for system use. While not a direct technical security control, this has positive implications for enforcement and prosecution if attackers are caught. This parameter defines the text displayed on both the Host Client login page and DCUI.",SCG-8.0:esxi-8.annotations-welcomemessage,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Annotations.WelcomeMessage | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",
esx.api-soap-timeout,P1,HostSystem,VMWARE,Config.HostAgent.vmacore.soap.sessionTimeout,advanced_setting,integer,10,The ESXi host must configure a session timeout for the vSphere API.,"This practice helps mitigate potential security risks by ensuring that unattended sessions, which could be exploited by unauthorized users or malicious software, are not left open indefinitely.",SCG-8.0:esxi-8.api-soap-timeout,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 10,
